	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2
slr1813_181	0	0	0	1
slr1813_70	0	1	0	0
slr1816_468	1	0	0	0
sll8048_16	0	1	0	0
lytR_56	0	0	0	1
ssr3341_98	0	1	0	0
lspA_16	0	0	1	1
slr1968_34	1	0	0	0
sll0857_107	0	1	0	1
sll0857_70	0	0	0	1
sll0855_49	1	0	0	0
sll0854_40	0	1	0	0
sll1271_26	1	0	0	1
slr0964_37	1	0	0	0
slr0967_53	0	1	0	0
rps17_146	0	0	1	0
sll1672_133	0	1	0	0
sll1675_21	0	1	0	0
sll1678_73	0	0	0	1
nusB_3	1	1	0	0
lpxB_31	0	1	0	0
slr1963_10	0	0	1	0
sll1411_79	0	0	0	1
cpcG2_9	0	1	0	0
sll1414_60	0	0	0	1
ssl8003_4	1	0	0	0
slr5093_64	1	0	0	0
sll2002_111	0	1	0	0
slr2052_31	1	0	0	0
sll0665_41	0	1	0	0
ssl3549_13	0	0	1	0
slr0363_34	0	0	1	0
slr0360_62	0	0	0	1
slr0366_19	0	0	1	0
sll0071_24	0	0	1	0
sll0071_56	0	0	1	0
sll1072_49	0	0	0	1
sll1071_19	0	0	1	0
pyrC2_24	0	1	0	0
sll1305_8	0	1	0	0
sll1306_55	1	0	0	0
sll1300_25	1	0	1	0
sll0871_19	0	1	0	0
sll1273_99	0	0	1	0
pcnB2_20	0	0	1	0
pilT_9	0	0	0	1
pilT_27	0	0	0	1
pilC_36	0	0	1	0
sll1891_43	1	0	0	0
sll1891_31	0	1	0	0
sll1892_7	0	0	1	0
fecB3_106	1	0	0	0
fecB2_82	0	0	1	1
fumC_25	0	1	0	0
hoxF_139	0	0	0	1
hoxF_31	0	1	0	0
slr1931_34	0	0	0	1
slr0482_58	0	1	0	0
slr0482_12	0	0	1	1
slr1174_50	0	1	0	0
slr1177_4	0	1	0	0
sll5080_63	0	1	0	0
slr1171_40	0	1	0	0
slr1778_190	0	1	0	0
slr1773_65	0	0	1	0
slr1772_28	0	0	0	1
slr1772_47	0	0	0	1
slr1770_94	0	1	0	0
slr8014_54	0	1	0	1
slr8016_145	1	0	0	0
slr1776_48	1	0	0	0
sll7043_3	0	0	0	1
slr0572_148	0	0	1	0
slr0573_64	0	1	0	0
slr0573_206	0	0	0	1
slr0575_50	1	0	0	0
slr0575_6	0	0	1	0
slr2092_69	0	1	0	0
slr2096_294	0	1	1	1
slr0771_93	0	1	0	0
slr0773_37	0	0	1	1
cydA_217	0	0	1	0
cydA_78	1	1	0	0
hisD2_26	0	0	1	1
gumB_15	1	0	0	0
spsA_62	0	0	1	1
sll7050_32	0	0	0	1
slr1198_37	0	0	1	0
slr0815_46	0	1	0	0
slr0816_24	0	0	0	1
sll0210_31	0	1	0	0
ssr2754_16	0	0	1	1
sll8040_37	0	1	0	1
pykF2_3	0	0	0	1
ssl1046_82	0	0	1	0
speA2_136	0	1	0	0
speA2_74	1	0	0	0
slr1220_127	0	0	1	0
sll6055_62	1	0	0	0
slr1229_82	0	1	1	0
slr0801_11	0	1	0	0
slr0806_53	0	0	0	1
slr7102_67	1	0	0	0
slr7102_30	0	0	1	0
nrtA_13	0	0	0	1
ndhE_77	0	0	1	0
ndhE_103	0	1	0	0
slr6058_221	0	0	1	0
sll1095_52	0	1	0	0
sll1092_208	0	1	0	0
slr0780_23	0	1	0	0
slr6040_335	1	0	0	0
Yfr1_33	1	0	0	0
slr1565_13	0	1	0	0
slr1563_37	0	1	0	0
hdrB_10	0	1	0	0
hdrB_30	0	1	0	0
ssl0787_18	0	0	1	0
